original_title,genre,duration,country,language,director,production_company,description,avg_vote,votes,reviews_from_users,reviews_from_critics
Solar Impact,"Horror, Sci-Fi",83,,English,,,Trying to stay alive after solar radiation disaster may not be as easy as it sounds.,3.2,197,27,
Kappela,"Comedy, Romance",113,India,Malayalam,Muhammed Musthafa,Kadhaas Untold,"Set in the village areas of Wayanad, Malappuram and Kannur, Kappela revolves around an ordinary, innocent girl who comes to Kozhikode city from a high range area called Poovarmala.",7.6,1656,65,8
Doordarshan,"Comedy, Drama",119,India,Hindi,Gagan Puri,Arya Films,"When the family's grandmother wakes up, the parents who have been bickering over their divorce are compelled to revive their marriage and keep the peace at home.",6.2,1549,42,3
Dia,Drama,137,India,Kannada,K.S. Ashoka,Sri Swarnalatha Productions,"Dia tells the story of a young, introvert girl whose routine life brightens up when she falls for Rohith, one of her fellow college mates. Being an introvert girl and trying to express her ...",8.2,3292,212,8
Black Money,"Crime, Drama, Thriller",113,South Korea,"Korean, English",Ji-yeong Jeong,Aura Pictures,"Prosecutor Yang Min-hyeok, who is known for being headstrong, ends up in a complicated situation because of a suspect who commits suicide. He faces the true nature of a huge financial ...",6.2,186,2,2
We Are All Together,Comedy,96,Iran,Persian,Kamal Tabrizi,,"After some unsuccessful attempts to save a bankrupt airline, the owner needs to gather some suicidal individuals to go according to her new plan. But due to an incident, everything turns out completely different.",4.2,578,,21
Scumbag,Thriller,100,Slovakia,Slovak,"Rudolf Biermann, Mariana Cengel-Solcanská",In Film Praha,"Somewhere under the mountains, the country is dominated by high-ranking criminals, people linked to politics, the mafia, but also to the police, the courts, and the big business. The ...",6.7,185,,
W lesie dzis nie zasnie nikt,Horror,102,Poland,Polish,Bartosz M. Kowalski,Akson Studio,"A group of technology-dependent teenagers goes to - offline camp. Common hiking in the woods without access to smartphones will not end, however, as planned by the organizers. They will ...",5,1214,8,3
Eerie Fairy Tales,"Fantasy, Horror",92,Estonia,"Estonian, English, Russian, French, German",Mart Sander,OÜ FilMinistry,"An anthology of bizarre, fantastic and spooky tales from the past, present and future, dealing with curses, witches, perfect crime and science experiments.",6.9,311,3,
The Bridge Curse,"Horror, Mystery, Thriller",88,Taiwan,Chinese,Lester Hsi,Double Edge Entertainment,"University students, planning a bravery initiation test for their fellow classmates, choose a campus bridge rumored to be haunted by a vengeful female ghost.",5.4,460,9,6
Invasion,"Drama, Fantasy, Horror",64,Russia,Russian,Sergey A.,Terra Studio,"Death roams among us. Death follows each of us. Death is all the same, for death is immortal.",7.6,156,,
Babru,Thriller,124,USA,Kannada,Sujay Ramaiah,Suman Nagarkar Productions,"Two strangers are brought together by a common language, and an epic road trip across the United States that takes an interesting turn.",6.8,171,30,
Devyataya,"Adventure, Crime, Mystery",99,Russia,"Russian, English",Nikolay Khomeriki,Non-Stop Productions,Petersburg at the end of the 19th century was embraced by a massive enthusiasm for the occult sciences and esotericism. British medium Olivia Reed arrives in the capital of the Russian ...,5.2,248,,2
"Yo, adolescente",Drama,97,Argentina,Spanish,Lucas Santa Ana,Sombracine Producciones,"After the suicide of his best friend and the fire of a local dance called Cromañón, including recitals, illegal parties in an abandoned warehouse and high school, a year passes by in the ...",6.4,117,2,2
Zengo,Comedy,97,Turkey,Turkish,"Sahan Gökbakar, Muge Manus",Camasirhane,"A housewife with a big passion for fashion and with the help of her tailor Fazilet, she is turning her ideas into reality, but she gets competition from her school day friend and rival Menkibe.",2.5,484,9,
Kamma Rajyam Lo Kadapa Reddlu,"Drama, Thriller",153,India,Telugu,Siddharth Thatholu,R Company,"Andhra Pradesh faces turmoil as elections roll around the corner,various political leaders fight against each other and vie for the CM seat.",3.5,144,2,
Ban Ge Xi Ju,Drama,111,China,Chinese,"Lu Liu, Shen Zhou",,"Three young people have different ideas: one wants to say goodbye to single life, one wants to have a dissipated night before marriage, and one wants to set a firm footing in Beijing. Their frantic life looks almost like a comedy.",6.7,349,1,
Tootsies & the Fake,Comedy,109,Thailand,Thai,Piyachart Thong-Uam,GDH 559,"Make way! 3 tootsies, 1 lesbian and an A-list superstar are coming! Get ready for their new adventures.",5.9,333,3,2
Maarjaara Oru Kalluvacha Nuna,Drama,142,India,Malayalam,Raakesh Baala,Mullappally Productions,"Due to an unfortunate event, Shanthanu leaves home and resides in the outskirts of the city named Ashramam Veedu. During the stay period, there is a twist of fate in Shanthanu's life as he encounters a chain of mysterious events.",9.2,347,7,
Bu Can Var Oldugu Sürece,"Biography, Crime, Drama",87,Turkey,"Turkish, English, French, Korean, Spanish",Hazar Deniz BG,Merbar Yapim,"Adapted from a real life story.Mert's been waiting in the same place for years for the girl he's been dreaming about. At last, the girl comes.Mert doesn't want to wake up from this dream.",7.3,145,2,
Re: Zero kara Hajimeru Isekai Seikatsu: Hyouketsu no Kizuna,"Animation, Adventure, Comedy",80,Japan,Japanese,"Masaharu Watanabe, Kenichi Kawamura",White Fox,"In this prequel to Re:Zero Starting Life in a New World From Zero, we learn how Puck and Emilia met. We also learn about why Emilia is insecure.",7,139,1,
Motreb,"Comedy, Drama, Music",107,Iran,"Persian, Turkish, English",Mostafa Kiayee,Filmiran,"Ibrahim is a nightclub singer who, like other singers of that era and is being removed from the scene with the 1979 revolution. Eventually he becomes the singer of various ceremonies but he doesn't agree with them to be called Motreb.",4.6,881,11,18
Chi Chi Em Em,"Drama, Thriller",104,Vietnam,Vietnamese,Kathy Uyen,Muse Films,"A late night radio talk show host offers a room to a runaway teen at her opulent home, what she doesn't bargain for is the eighteen year old has ulterior motives which forces Kim to face her darkest secrets.",6.3,125,,
Yunhui-ege,"Drama, Romance",105,South Korea,"Korean, Japanese",Dae Hyung Lim,,"Yoon-Hee lives with her teenage daughter Sae-Bom. On a winter day, Yoon-Hee receives a letter from Otaru, Japan. Sae-Bom accidentally reads the letter and learns about her mother's first love, which she never spoke about before.",7.2,148,5,9
Prathi Poovankozhi,"Drama, Thriller",102,India,Malayalam,Roshan Andrews,Sree Gokulam Movies,Madhuri (Manju Warrier) an ordinary sales girl takes extra ordinary revenge against Antappn (Roshan Andrews) who misbehaved to her during a bus journey,7.4,1085,26,1
Rocket Hunter,"Action, Drama, War",86,USA,English,Christopher Forbes,,"In one of the most dangerous missions of the war, an American B-17 pilot volunteers to fly a surrendered Messerschmidt 109 on a daring flight through the heart of Germany to try to prevent ...",1.3,153,34,1
Happy Old Year,"Drama, Romance",113,Thailand,Thai,Nawapol Thamrongrattanarit,Very Sad Pictures,"A woman wants to reorganize her house and convert it into a home office. She will throw away anything that has been lying around unused. However, she faces a great challenge when she comes across some items that belonged to her ex-boyfriend.",7.3,1020,11,10
Gabriel's Inferno,Romance,122,USA,,Tosca Musk,Passionflix,"An intriguing exploration of seduction, forbidden love, and redemption, a captivating and passionate tale of one man's escape from his own personal hell as he tries to earn the impossible: forgiveness and love.",6.2,1561,329,3
Dhurala,Drama,169,India,Marathi,Sameer Vidwans,Pratisaad Production,"When the sarpanch of the Ambergaon village dies, his family members battle with each other over their greed for power which affects their relationships.",8.5,104,13,
Vaanam Kottattum,Drama,138,India,Tamil,Dhana Sekaran,Madras Talkies,"A simple father's life whose one mistake breaks him away from his dear family. Even after many years, when he finally meets his family, the same mistake haunts him back in a different form which unfolds into an emotionally gripping climax.",6.4,425,13,4
Bad Boy,"Action, Crime, Drama",135,Poland,Polish,Patryk Vega,Vega Investments,"The rise and fall of a soccer club owner, discovering the harsh reality of the sport, often connected with crime and fraud.",3.7,626,3,3
Ayyappanum Koshiyum,"Action, Drama, Thriller",177,India,Malayalam,Sachy,Gold Coin Motion Pictures,"The story revolves around the clash between Ayyappan, a senior police officer who serves at the Attappadi Police Station and Havildar Koshi, who comes to the village with a motive.",7.9,3305,83,8
Penguin,"Drama, Mystery, Thriller",132,India,"Tamil, Malayalam, Telugu",Eashvar Karthic,Amazon Seller Services Private Limited,It is a spine chilling tale of a pregnant mother who sets out on a dangerous mission to unravel the mystery and save her loved ones.,4.6,1906,195,9
The Final Level: Escaping Rancala,"Action, Adventure, Fantasy",87,USA,English,Canyon Prince,CronicLove Productions,"When an arcade manager realizes her brother has been transported into a dangerous video game, she and her two best friends follow him into the virtual world, battling dangerous creatures ...",3,308,12,5
Body of Night,"Drama, Thriller",73,USA,,"Nicole D'Angelo, Gregory Hatanaka",CineRidge Entertainment,A woman explores the dark side of online dating when she meets a mysterious man who engages her in a series of increasingly dangerous tests of her ability.,7.1,948,9,
Acrylic,Comedy,78,USA,,Nicole D'Angelo,CineRidge Entertainment,A colorful neighborhood salon is threatened by a new addition. The pot is stirred by a local magazine competition and a long standing rivalry. Which salon has what it takes to win the grand prize?,6.8,1541,14,1
Anukunnadi Okkati Ayyindhi Okati,"Comedy, Crime, Drama",122,India,Telugu,Baalu Adusumilli,B&W Pictures,"The story of four metropolitan girls who are very close to each other from childhood. A Journalist, a fashion designer working for movies, a software engineer and a home maker are these girls.",8.5,562,17,
Fragtime,"Animation, Drama, Romance",61,Japan,Japanese,Takuya Satô,Pony Canyon,"What would you do if you could stop time? Moritani for one is using her unusual ability to stop time for three minutes a day to observe the people around her. One day, she chooses to ""...",6,130,3,3
Alidu Ulidavaru,Thriller,122,India,Kannada,Arvind Sastry,Ashu Bedra Venture,"A popular TV show host and myth-buster of superstitions who is working on the 100th episode of his show, is caught in the whirlwind of numbers, TRPs and relationships as he uncovers the secret that haunts him.",6.5,154,12,2
Robibaar,Drama,118,India,Bengali,Atanu Ghosh,Echo Entertainments,"Fifteen years after they parted ways, Sayani, Law officer in a corporate firm meets Asimabha, a brilliant man leading a devious life, and they go through a unique journey with a curious interplay of conflict, intrigue and surprise.",4.6,180,9,3
Halvai 5-0,"Comedy, Mystery",120,Greece,Greek,Manos Kampitis,Comedy Factory,"A halva industrialist is found murdered in his mansion. 5 suspects, 0 evidence. Intrigue, passion, hatred, intrigue, and every day new evidence comes to light that complicates the case. Will inspector Bekras find the murderer?",4.2,474,14,4
Breakout,"Adventure, Comedy, Drama",58,UK,English,,Tycer Studios,"Jerry with Freddy and Chica is trapped within the FNAF pizzeria. After Jerry finding out who his dad really was.. he's determined to save him, however not before the FNAF Security Service ...",9,165,,
Odeya,"Action, Drama",164,India,Kannada,M.D. Sridhar,Sandesh Productions,"Gajendra is a kind hearted person who hates getting married. So, his four brothers decides to make him fall in love.",4.3,182,7,2
12 Pups of Christmas,Romance,85,USA,English,Michael Feifer,Feifer Worldwide,"Recently single and starting a new job in a different city, Erin, a canine therapist, is getting a fresh start. But just when she thought her new life would be the reset she needed, her ...",4.8,153,17,1
Namsanui bujangdeul,"Drama, History, Thriller",114,South Korea,"Korean, English, French",Min-ho Woo,Gemstone Pictures,In the 1970s Korea is under the absolute control of the president Park who controls the KCIA the organization with the edge over any branch of government.,7,1141,11,22
